Community ID,Community Area
32,Loop
14,Albany Park
57,Archer Heights
34,Armour Square
70,Ashburn
71,Auburn Gresham
25,Austin
45,Avalon Park
21,Avondale
19,Belmont Cragin
72,Beverly
60,Bridgeport
58,Brighton Park
47,Burnside
48,Calumet Heights
44,Chatham
66,Chicago Lawn
64,Clearing
35,Douglas
17,Dunning
27,East Garfield Park
52,East Side
77,Edgewater
9,Edison Park
68,Englewood
12,Forest Glen
37,Fuller Park
63,Gage Park
56,Garfield Ridge
38,Grand Boulevard
69,Greater Grand Crossing
55,Hegewisch
20,Hermosa
23,Humboldt Park
41,Hyde Park
16,Irving Park
11,Jefferson Park
39,Kenwood
6,Lake View
7,Lincoln Park
4,Lincoln Square
22,Logan Square
31,Lower West Side
59,McKinley Park
18,Montclare
75,Morgan Park
74,Mount Greenwood
8,Near North Side
33,Near South Side
28,Near West Side
61,New City
5,North Center
29,North Lawndale
13,North Park
10,Norwood Park
76,Ohare
36,Oakland
15,Portage Park
50,Pullman
54,Riverdale
1,Rogers Park
49,Roseland
46,South Chicago
51,South Deering
30,South Lawndale
43,South Shore
3,Uptown
73,Washington Heights
40,Washington Park
62,West Elsdon
67,West Englewood
26,West Garfield Park
65,West Lawn
53,West Pullman
2,West Ridge
24,West Town
42,Woodlawn
